Identifier,Title,Status,Priority,Assignee,Labels,Project,Due Date,Created,Updated,Git Branch,URL
CRE-4743,"Expiry date is mandatory to add a document, but the mandatory asterisk (*) is missing. It should be displayed.",Released,Medium,garima.a@crego.ai,release:v2.2.0; repo:crego-web,Platform,,2026-01-27,2026-02-15,feature/cre-4743-expiry-date-is-mandatory-to-add-a-document-but-the-mandatory,https://linear.app/crego/issue/CRE-4743/expiry-date-is-mandatory-to-add-a-document-but-the-mandatory-asterisk
CRE-4744,Fix the ordering of schedule inside loan,Released,High,garima.a@crego.ai,"release:v2.2.0, repo:crego-web",Platform,,2026-01-27,2026-02-15,,https://linear.app/crego/issue/CRE-4744
CRE-4746,Not able to create loan,Released,Urgent,Gautam Singla,release:v2.2.0; client:shared; repo:crego-omni,Platform,,2026-01-28,2026-02-15,feature/cre-4746-not-able-to-create-loan,https://linear.app/crego/issue/CRE-4746/not-able-to-create-loan
CRE-4749,Payout page goes blank while refreshing it,Released,Urgent,garima.a@crego.ai,release:v2.2.0; repo:crego-omni,Platform,,2026-01-28,2026-02-15,feature/cre-4749-payout-page-goes-blank-while-refreshing-it,https://linear.app/crego/issue/CRE-4749/payout-page-goes-blank-while-refreshing-it
CRE-4750,Loan start date should be the value date of payout instead if tentative disbursement date,Released,High,somya.j@crego.ai,"release:v2.2.0, type:bug",Platform,,2026-01-28,2026-02-15,,https://linear.app/crego/issue/CRE-4750
CRE-4752,Move GL components to Product Master settings,Released,Medium,garima.a@crego.ai,"release:v2.2.0, repo:crego-web, type:bug",Platform,,2026-01-28,2026-02-15,,https://linear.app/crego/issue/CRE-4752
CRE-4753,Filters of GL Report,Released,High,Somya Jain,release:v2.2.0,Platform,,2026-01-28,2026-02-15,feature/cre-4753-filters-of-gl-report,https://linear.app/crego/issue/CRE-4753/filters-of-gl-report
CRE-4754,Add a document uploading field in Invoice and Purchase order,Released,High,sidharth.k@crego.ai,release:v2.2.0; client:shared; repo:crego-web,Platform,2026-02-04,2026-01-28,2026-02-15,feature/cre-4754-add-a-document-uploading-field-in-invoice-and-purchase-order,https://linear.app/crego/issue/CRE-4754/add-a-document-uploading-field-in-invoice-and-purchase-order
CRE-4756,Transaction and Summary not loading in loan,Released,Urgent,abhishek@crego.ai,"client:shared, release:v2.2.0",Platform,,2026-01-28,2026-02-15,,https://linear.app/crego/issue/CRE-4756
CRE-4757,Search is not working while searching for product when creating loan,Development,Medium,Gautam Singla,release:v2.2.0; client:shared; repo:crego-web,Platform,,2026-01-28,2026-02-15,feature/cre-4757-search-is-not-working-while-searching-for-product-when,https://linear.app/crego/issue/CRE-4757/search-is-not-working-while-searching-for-product-when-creating-loan
CRE-4758,Transaction amount can be zero,Released,Urgent,somya.j@crego.ai,"client:shared, release:v2.2.0, repo:crego-omni, type:bug",Platform,,2026-01-28,2026-02-15,,https://linear.app/crego/issue/CRE-4758
CRE-4759,Showing future transaction date (System Date) while repayment,Released,High,somya.j@crego.ai,"client:shared, release:v2.2.0, type:bug",Platform,,2026-01-28,2026-02-15,,https://linear.app/crego/issue/CRE-4759
CRE-4760,Ledger status is pending but loan get closed,Released,Medium,Somya Jain,release:v2.2.0; client:shared; type:bug,Platform,,2026-01-28,2026-02-15,feature/cre-4760-ledger-status-is-pending-but-loan-get-closed,https://linear.app/crego/issue/CRE-4760/ledger-status-is-pending-but-loan-get-closed
CRE-4762,Showing error at summary level of a loan,Released,Urgent,garima.a@crego.ai,release:v2.2.0; repo:crego-omni,Platform,,2026-01-29,2026-02-15,feature/cre-4762-showing-error-at-summary-level-of-a-loan,https://linear.app/crego/issue/CRE-4762/showing-error-at-summary-level-of-a-loan
CRE-4763,When the loan is in the requested state should not allowed to create payment,Released,High,garima.a@crego.ai,release:v2.2.0; repo:crego-omni,Platform,,2026-01-29,2026-02-15,feature/cre-4763-when-the-loan-is-in-the-requested-state-should-not-allowed,https://linear.app/crego/issue/CRE-4763/when-the-loan-is-in-the-requested-state-should-not-allowed-to-create
CRE-4765,Redirecting link on Transaction tab,Released,High,Somya Jain,release:v2.2.0,Platform,,2026-01-30,2026-02-15,feature/cre-4765-redirecting-link-on-transaction-tab,https://linear.app/crego/issue/CRE-4765/redirecting-link-on-transaction-tab
CRE-4766,Pre- EMI Restructuring should only work on value date,Released,Urgent,garima.a@crego.ai,release:v2.2.0; repo:crego-omni,Platform,,2026-01-30,2026-02-15,feature/cre-4766-pre-emi-restructuring-should-only-work-on-value-date,https://linear.app/crego/issue/CRE-4766/pre-emi-restructuring-should-only-work-on-value-date
CRE-4767,Foreclosure For Flat Interest - V2,Released,High,garima.a@crego.ai,release:v2.2.0; client:shared,Platform,,2026-01-30,2026-02-15,feature/cre-4767-foreclosure-for-flat-interest-v2,https://linear.app/crego/issue/CRE-4767/foreclosure-for-flat-interest-v2
CRE-4773,Drawdown Bulk Import not working,Released,High,Somya Jain,release:v2.2.0; client:shared; type:bug,Platform,,2026-01-30,2026-02-15,feature/cre-4773-drawdown-bulk-import-not-working,https://linear.app/crego/issue/CRE-4773/drawdown-bulk-import-not-working
CRE-4774,Should not show the payment option when the loan is in requested or draft state,Released,High,garima.a@crego.ai,"release:v2.2.0, repo:crego-web",Platform,,2026-01-30,2026-02-15,,https://linear.app/crego/issue/CRE-4774
CRE-4775,At Product Level Limit Edit Option Showing Error from Summary Page,Released,Medium,abhishek@crego.ai,"release:v2.2.0, repo:crego-web, type:bug",Platform,,2026-01-30,2026-02-15,,https://linear.app/crego/issue/CRE-4775
CRE-4778,Report match,Released,Medium,Shubham Singh,release:v2.2.0; client:adani,Adani,2026-02-28,2026-01-30,2026-02-15,feature/cre-4778-report-match,https://linear.app/crego/issue/CRE-4778/report-match
CRE-4780,Pre EMI Restructuring Error,Released,Urgent,Somya Jain,release:v2.2.0; client:shared; repo:crego-omni; repo:crego-web; type:bug,Platform,2026-02-03,2026-02-01,2026-02-15,feature/cre-4780-pre-emi-restructuring-error,https://linear.app/crego/issue/CRE-4780/pre-emi-restructuring-error
CRE-4784,Add Max financing amount in invoice & PO,Released,High,Somya Jain,release:v2.2.0; client:shared,Platform,,2026-02-02,2026-02-15,feature/cre-4784-add-max-financing-amount-in-invoice-po,https://linear.app/crego/issue/CRE-4784/add-max-financing-amount-in-invoice-and-po
CRE-4785,Provide link for transaction detail page,Released,High,garima.a@crego.ai,"release:v2.2.0, repo:crego-web, type:bug",Platform,,2026-02-02,2026-02-15,,https://linear.app/crego/issue/CRE-4785
CRE-4789,"Closed, draft and requested loan should not shown while settlement",Released,High,Somya Jain,release:v2.2.0; client:shared; repo:crego-web,Platform,2026-02-03,2026-02-02,2026-02-15,feature/cre-4789-closed-draft-and-requested-loan-should-not-shown-while,https://linear.app/crego/issue/CRE-4789/closed-draft-and-requested-loan-should-not-shown-while-settlement
CRE-4790,Contact & Program ID Missing in Bulk Loan Export,Released,High,garima.a@crego.ai,"client:shared, release:v2.2.0, repo:crego-omni",Platform,2026-02-02T18:30:00.000Z,2026-02-02,2026-02-15,,https://linear.app/crego/issue/CRE-4790
CRE-4792,Payment Processing error in SCF with Upfront interest,Released,Urgent,Somya Jain,release:v2.2.0; client:shared; type:bug,Platform,,2026-02-02,2026-02-15,feature/cre-4792-payment-processing-error-in-scf-with-upfront-interest,https://linear.app/crego/issue/CRE-4792/payment-processing-error-in-scf-with-upfront-interest
CRE-4793,Payment amount field error,Released,Urgent,garima.a@crego.ai,"release:v2.2.0, type:bug",Platform,,2026-02-02,2026-02-15,,https://linear.app/crego/issue/CRE-4793
CRE-4795,Notes in config,Released,High,garima.a@crego.ai,"release:v2.2.0, repo:crego-web, type:bug",Platform,2026-02-02T18:30:00.000Z,2026-02-02,2026-02-15,,https://linear.app/crego/issue/CRE-4795
CRE-4796,Use configured ttl for access & refresh tokens,Released,Low,garima.a@crego.ai,"client:shared, release:v2.2.0, repo:crego-omni, type:bug",Platform,,2026-02-02,2026-02-15,,https://linear.app/crego/issue/CRE-4796
CRE-4797,Cap txn amount to outstanding in excess settlement and foreclosure,Released,High,Somya Jain,release:v2.2.0; client:shared; type:bug,Platform,,2026-02-02,2026-02-15,feature/cre-4797-cap-txn-amount-to-outstanding-in-excess-settlement-and,https://linear.app/crego/issue/CRE-4797/cap-txn-amount-to-outstanding-in-excess-settlement-and-foreclosure
CRE-4800,Update EMI restructuring should not be allowed during PRE EMI phase,Released,Urgent,Somya Jain,release:v2.2.0; client:shared; repo:crego-omni; type:bug,Platform,,2026-02-03,2026-02-15,feature/cre-4800-update-emi-restructuring-should-not-be-allowed-during-pre,https://linear.app/crego/issue/CRE-4800/update-emi-restructuring-should-not-be-allowed-during-pre-emi-phase
CRE-4802,External Secret issue in prod,Released,Urgent,Pradeep Devsecops,release:v2.2.0; client:shared; type:bug,Platform,,2026-02-03,2026-02-15,feature/cre-4802-external-secret-issue-in-prod,https://linear.app/crego/issue/CRE-4802/external-secret-issue-in-prod
CRE-4803,Add Fee Issues,Released,High,garima.a@crego.ai,"client:shared, release:v2.2.0, repo:crego-omni",Platform,,2026-02-03,2026-02-15,,https://linear.app/crego/issue/CRE-4803
CRE-4805,Disable Loan Selector when creating payment from loan page,Released,Medium,somya.j@crego.ai,"client:shared, release:v2.2.0, repo:crego-web",Platform,,2026-02-03,2026-02-15,,https://linear.app/crego/issue/CRE-4805
CRE-4807,Bulk Contact Import: Subsequent Sheets Fail with “Contact Ref ID Does Not Exist” Error After Contact Creation,Released,Urgent,somya.j@crego.ai,"client:bcpl, release:v2.2.0, repo:crego-omni, type:bug",BCPL - CLM1,,2026-02-03,2026-02-15,,https://linear.app/crego/issue/CRE-4807
CRE-4809,Document Module Errors,Released,High,priyam.j@crego.ai,"client:shared, release:v2.2.0, type:bug",Platform,,2026-02-03,2026-02-15,,https://linear.app/crego/issue/CRE-4809
CRE-4810,MongoDB EC2 setup on prod aws,Released,High,Pradeep Devsecops,release:v2.2.0; client:shared,Platform,,2026-02-04,2026-02-15,feature/cre-4810-mongodb-ec2-setup-on-prod-aws,https://linear.app/crego/issue/CRE-4810/mongodb-ec2-setup-on-prod-aws
CRE-4811,Vayana Colending Issues,QA,Urgent,Hiten Kakwani,release:v2.2.0; client:vayana,Vayana - Colending,,2026-02-04,2026-02-15,feature/cre-4811-vayana-colending-issues,https://linear.app/crego/issue/CRE-4811/vayana-colending-issues
CRE-4814,Loan configuration while importing the Loan,PR Review,Urgent,Ashutosh Sharma,release:v2.2.0; client:shared; repo:crego-omni; type:bug,Platform,,2026-02-04,2026-02-15,feature/cre-4814-loan-configuration-while-importing-the-loan,https://linear.app/crego/issue/CRE-4814/loan-configuration-while-importing-the-loan
CRE-4818,H2H for SBI Virtual Accounts,Released,High,Shubham Singh,release:v2.2.0; client:adani,Adani,,2026-02-05,2026-02-15,feature/cre-4818-h2h-for-sbi-virtual-accounts,https://linear.app/crego/issue/CRE-4818/h2h-for-sbi-virtual-accounts
CRE-4821,UI changes for products,Released,High,somya.j@crego.ai,"client:shared, release:v2.2.0, repo:crego-web",Platform,,2026-02-05,2026-02-15,,https://linear.app/crego/issue/CRE-4821
CRE-4823,Screen turns blank while editing bank account in contact,Released,Medium,somya.j@crego.ai,"client:shared, release:v2.2.0, type:bug",Platform,,2026-02-06,2026-02-15,,https://linear.app/crego/issue/CRE-4823
CRE-4824,"User, Role UI integration",Released,Medium,,release:v2.2.0; client:shared; repo:crego-web,Platform,,2026-02-06,2026-02-15,feature/cre-4824-user-role-ui-integration,https://linear.app/crego/issue/CRE-4824/user-role-ui-integration
CRE-4826,Basic Homes BRE,Released,Urgent,Amit Sharma,release:v2.2.0; client:shared,Platform,,2026-02-06,2026-02-15,feature/cre-4826-basic-homes-bre,https://linear.app/crego/issue/CRE-4826/basic-homes-bre
CRE-4828,Add a Cron timing for 11:30 PM too.,Released,High,Shubham Singh,release:v2.2.0; client:adani,Adani,,2026-02-07,2026-02-15,feature/cre-4828-add-a-cron-timing-for-1130-pm-too,https://linear.app/crego/issue/CRE-4828/add-a-cron-timing-for-1130-pm-too
CRE-4829,Feature flags in Settings,Development,High,Amit Sharma,release:v2.2.0; client:shared; type:feature,Platform,,2026-02-07,2026-02-15,feature/cre-4829-feature-flags-in-settings,https://linear.app/crego/issue/CRE-4829/feature-flags-in-settings
CRE-4833,Fix List Misc Choices API.,Released,,Ashutosh Sharma,release:v2.2.0; client:shared; type:bug,Platform,,2026-02-08,2026-02-15,feature/cre-4833-fix-list-misc-choices-api,https://linear.app/crego/issue/CRE-4833/fix-list-misc-choices-api
CRE-4836,Disable Status Service,Released,Urgent,garima.a@crego.ai,"client:shared, release:v2.2.0, repo:crego-omni",Platform,,2026-02-09,2026-02-15,,https://linear.app/crego/issue/CRE-4836
CRE-4838,Add beat worker for bcplprod,Released,Urgent,Pradeep Devsecops,release:v2.2.0; client:shared,Platform,,2026-02-09,2026-02-15,feature/cre-4838-add-beat-worker-for-bcplprod,https://linear.app/crego/issue/CRE-4838/add-beat-worker-for-bcplprod
CRE-4839,Update JWTValidator to enhance user attribute extraction from payload,Released,Urgent,Amit Sharma,release:v2.2.0; client:shared; type:improvement,Platform,,2026-02-09,2026-02-15,feature/cre-4839-update-jwtvalidator-to-enhance-user-attribute-extraction,https://linear.app/crego/issue/CRE-4839/update-jwtvalidator-to-enhance-user-attribute-extraction-from-payload
CRE-4860,Error while requesting a loan,Released,Urgent,somya.j@crego.ai,"client:shared, release:v2.2.0, repo:crego-web",Platform,,2026-02-10,2026-02-15,,https://linear.app/crego/issue/CRE-4860
CRE-4862,Add a payload tab in transaction,Released,Urgent,Somya Jain,release:v2.2.0; client:shared; repo:crego-web,Platform,,2026-02-10,2026-02-15,feature/cre-4862-add-a-payload-tab-in-transaction,https://linear.app/crego/issue/CRE-4862/add-a-payload-tab-in-transaction
CRE-4865,Interest is calculating wrong,Released,Urgent,Somya Jain,release:v2.2.0; client:shared,Platform,,2026-02-10,2026-02-15,feature/cre-4865-interest-is-calculating-wrong,https://linear.app/crego/issue/CRE-4865/interest-is-calculating-wrong
CRE-4866,Not able to click on Save configuration button in program,Released,Urgent,Somya Jain,release:v2.2.0; client:shared; repo:crego-web; type:bug,Platform,,2026-02-10,2026-02-15,feature/cre-4866-not-able-to-click-on-save-configuration-button-in-program,https://linear.app/crego/issue/CRE-4866/not-able-to-click-on-save-configuration-button-in-program
CRE-4877,Fix dark mode UI for system date badge,Released,Urgent,sidharth.k@crego.ai,release:v2.2.0; client:shared; repo:crego-web,Platform,,2026-02-12,2026-02-15,feature/cre-4877-fix-dark-mode-ui-for-system-date-badge,https://linear.app/crego/issue/CRE-4877/fix-dark-mode-ui-for-system-date-badge
CRE-4880,Tax input in fees in Restructuring,Development,Urgent,Harshita Rajpal,release:v2.2.0; client:shared; repo:crego-omni,Platform,,2026-02-12,2026-02-15,feature/cre-4880-tax-input-in-fees-in-restructuring,https://linear.app/crego/issue/CRE-4880/tax-input-in-fees-in-restructuring
CRE-4888,Not able to Add permissions in the group,Released,Urgent,Somya Jain,release:v2.2.0; client:shared; type:bug,Platform,,2026-02-13,2026-02-15,feature/cre-4888-not-able-to-add-permissions-in-the-group,https://linear.app/crego/issue/CRE-4888/not-able-to-add-permissions-in-the-group
